emp_no,first_name,last_name,birth_date,title,dept_no
18617,Surveyors,Crouzet,1965-01-21,Senior Staff,d003
18810,Taiji,Jarecki,1965-01-09,Senior Engineer,d005
19236,Elzbieta,Morris,1965-01-24,Senior Engineer,d004
19350,Satoru,Yoshizawa,1965-01-19,Senior Staff,d009
19803,Ziva,Kowalchuk,1965-01-30,Senior Engineer,d005
20100,Utz,Heuter,1965-01-18,Senior Staff,d001
20128,Kazunori,Peak,1965-01-23,Senior Staff,d009
20129,Rafael,Skafidas,1965-01-10,Senior Engineer,d004
20248,Vidar,Demri,1965-01-12,Staff,d009
20313,Candida,Benveniste,1965-01-24,Engineer,d004
20500,Christoph,Trystram,1965-01-30,Senior Staff,d009
20885,Otmar,Rothenberg,1965-01-21,Senior Engineer,d004
21181,Jianhui,Cangellaris,1965-01-21,Engineer,d004
21188,Piyush,Danecki,1965-01-21,Engineer,d005
21546,Yongmin,Lanteri,1965-01-01,Senior Staff,d001
21843,Karsten,Azadmanesh,1965-01-09,Senior Engineer,d005
21909,Mohammed,Brizzi,1965-01-04,Senior Staff,d007
22185,Huai,Birch,1965-01-29,Engineer,d004
22415,Perla,Jumpertz,1965-01-20,Senior Staff,d007
22451,Jasminko,Bresenham,1965-01-27,Senior Staff,d005
22455,Barry,Unno,1965-01-06,Senior Staff,d001
22926,Manibrata,Genther,1965-01-01,Senior Engineer,d004
23396,Hilari,Fairtlough,1965-01-02,Technique Leader,d004
24080,Jaana,Perez,1965-01-26,Technique Leader,d005
24205,Roddy,Rubsam,1965-01-25,Senior Engineer,d005
24377,Lubomir,Wroclawski,1965-01-25,Senior Engineer,d006
24394,Zhonghui,Conta,1965-01-04,Staff,d007
24553,Anwar,Passafiume,1965-01-12,Senior Staff,d007
24571,Cordelia,Gischer,1965-01-20,Senior Engineer,d004
25488,Ingmar,Basawa,1965-01-19,Senior Staff,d008
26629,Nevin,Rodham,1965-01-28,Senior Staff,d008
26671,Jiakeng,Kalorkoti,1965-01-21,Senior Engineer,d005
26788,Zongyan,Dalphin,1965-01-25,Senior Engineer,d005
27331,Wanqing,Krohm,1965-01-19,Senior Staff,d009
27378,Piyawadee,Leppanen,1965-01-28,Senior Staff,d002
27620,Shuji,Kandlur,1965-01-25,Senior Engineer,d004
27686,Manu,Rosiles,1965-01-28,Senior Staff,d007
27699,Falguni,Pezzoli,1965-01-15,Engineer,d004
27767,Tooru,Veldwijk,1965-01-27,Senior Staff,d009
28193,Xinglin,Mitsuhashi,1965-01-29,Senior Engineer,d005
28974,Chenxi,Sundgren,1965-01-09,Senior Engineer,d005
28988,Tua,Giveon,1965-01-18,Technique Leader,d004
29130,Xumin,Thorensen,1965-01-06,Staff,d001
29265,Gilbert,Calkin,1965-01-14,Senior Staff,d009
29380,Satoru,Vidal,1965-01-30,Assistant Engineer,d004
29418,Valery,Mersereau,1965-01-22,Assistant Engineer,d004
29679,Kolar,Steenbeek,1965-01-17,Senior Engineer,d005
29782,Jouko,Hellwagner,1965-01-29,Senior Engineer,d004
29954,Pranay,Giarratana,1965-01-27,Senior Engineer,d004
30007,Kousuke,Vecchio,1965-01-24,Senior Engineer,d004
30035,Tetsushi,Conta,1965-01-08,Senior Staff,d008
30154,Mayuko,Skafidas,1965-01-26,Technique Leader,d005
30182,Leon,Potthoff,1965-01-26,Senior Engineer,d005
30465,Randi,Avouris,1965-01-28,Senior Engineer,d005
30484,Sailaja,Chvatal,1965-01-11,Staff,d007
30695,Gudjon,Majewski,1965-01-08,Senior Engineer,d005
30938,Yakkov,Samarati,1965-01-06,Senior Staff,d001
31147,Divine,Sidhu,1965-01-04,Senior Staff,d002
31188,Leandro,Gist,1965-01-12,Technique Leader,d004
31207,Abdelwaheb,Dulin,1965-01-30,Senior Engineer,d004
31341,Oksana,Zultner,1965-01-01,Senior Staff,d002
31514,Harngdar,Schapire,1965-01-13,Senior Engineer,d005
31568,Mark,Lalonde,1965-01-10,Staff,d001
31909,Murthy,Peek,1965-01-10,Engineer,d004
32347,Terresa,Peres,1965-01-08,Senior Staff,d001
32552,Atreye,Stanger,1965-01-17,Engineer,d005
32649,Ingmar,Nannarelli,1965-01-12,Senior Staff,d008
32714,Radoslaw,Maliniak,1965-01-16,Staff,d001
32844,Tadahiko,Melton,1965-01-23,Engineer,d005
33025,Jessie,Thorelli,1965-01-12,Senior Staff,d009
33215,Steen,Fasbender,1965-01-29,Technique Leader,d004
33722,Anwar,Collette,1965-01-15,Senior Engineer,d005
34077,Angel,Sichman,1965-01-08,Senior Staff,d007
34261,Kyoichi,Callaway,1965-01-05,Senior Staff,d003
34446,Chinhyun,Bauknecht,1965-01-31,Senior Engineer,d005
34452,Naftaly,Foong,1965-01-08,Senior Engineer,d004
34505,Felicidad,Kumaresan,1965-01-28,Senior Staff,d007
34533,Erzsebet,Shigei,1965-01-10,Senior Engineer,d004
34780,Moni,Kohling,1965-01-16,Staff,d001
34788,Ennio,Babu,1965-01-27,Senior Engineer,d004
34936,Bokyung,Stamatiou,1965-01-12,Technique Leader,d004
35044,Jiang,Waschkowski,1965-01-04,Senior Engineer,d004
35087,Leif,Ashish,1965-01-17,Senior Staff,d009
35441,Chandrasekaran,Peek,1965-01-31,Senior Engineer,d005
35642,Ashish,Talmon,1965-01-30,Senior Engineer,d004
35793,Oscar,Kusalik,1965-01-01,Senior Staff,d009
35798,Ulf,Oberman,1965-01-29,Senior Engineer,d005
36521,Serif,Gladwell,1965-01-21,Senior Staff,d002
36626,Fen,Genin,1965-01-02,Senior Staff,d007
36733,Uma,Reinhard,1965-01-04,Staff,d009
36844,Hailing,Levergood,1965-01-01,Staff,d009
36982,Kotesh,Rajala,1965-01-22,Senior Engineer,d006
37070,Jeong,Undy,1965-01-22,Senior Staff,d009
37945,Suzette,Butterworth,1965-01-02,Senior Engineer,d005
38043,Michaela,Randi,1965-01-05,Senior Engineer,d005
38103,Masasuke,Babu,1965-01-12,Senior Engineer,d004
38168,Fumiko,Deverell,1965-01-14,Senior Staff,d007
38550,JoAnne,Baez,1965-01-14,Senior Engineer,d006
38593,Huei,Orsini,1965-01-14,Senior Engineer,d004
38947,Shuichi,Ruemmler,1965-01-25,Senior Staff,d001
39000,Martijn,Vendrig,1965-01-08,Senior Staff,d008
39036,Changho,Cappelli,1965-01-08,Staff,d003
39301,Rimon,Kawashima,1965-01-07,Senior Staff,d008
39341,Mahmut,Lampe,1965-01-01,Senior Engineer,d004
39952,Otmar,Sudbeck,1965-01-02,Staff,d007
40269,Toshiki,Ghazalie,1965-01-10,Senior Staff,d007
40283,Sudhanshu,Boissier,1965-01-07,Senior Engineer,d005
40301,Spyrose,Felder,1965-01-20,Senior Engineer,d004
40536,Harngdar,Bernardinello,1965-01-20,Senior Engineer,d005
40765,Michaela,Ramsak,1965-01-01,Senior Staff,d008
40773,Shimshon,Aingworth,1965-01-09,Senior Staff,d009
40983,Marla,Cherinka,1965-01-17,Technique Leader,d005
41114,Petter,Thummel,1965-01-25,Technique Leader,d004
41137,Bikash,Buchter,1965-01-20,Senior Staff,d007
41357,Willard,Vernadat,1965-01-06,Engineer,d005
41518,Keung,Schapiro,1965-01-11,Senior Engineer,d004
41520,Xiong,Uhrik,1965-01-20,Senior Engineer,d005
41609,Yucai,Simmen,1965-01-04,Senior Staff,d007
42778,Shuji,Remmers,1965-01-19,Senior Staff,d003
42911,Brigham,Eterovic,1965-01-29,Senior Engineer,d004
42950,Shaleah,Eickenmeyer,1965-01-22,Senior Staff,d008
42955,Yucel,Lortz,1965-01-12,Engineer,d006
43154,Maha,Waterhouse,1965-01-13,Senior Staff,d002
43733,Huei,Boguraev,1965-01-26,Senior Staff,d003
43848,Phillip,Oxenboll,1965-01-11,Engineer,d004
44054,Alenka,Ritcey,1965-01-18,Engineer,d005
44265,Maria,Eppinger,1965-01-24,Engineer,d005
44540,Mingzeng,Sadowski,1965-01-16,Senior Engineer,d005
44900,Mark,Schwaller,1965-01-05,Senior Staff,d001
44959,Volkmar,Uhrik,1965-01-21,Senior Engineer,d004
44962,Sariel,Wynblatt,1965-01-16,Assistant Engineer,d005
45162,Dulce,Speel,1965-01-11,Senior Engineer,d005
46000,Zhaofang,Penn,1965-01-26,Senior Staff,d009
46328,Wuxu,Trogemann,1965-01-05,Senior Staff,d007
46811,Junsik,Berendt,1965-01-10,Senior Engineer,d004
46834,Tooru,Daescu,1965-01-22,Senior Staff,d007
46943,Pasqua,Maraist,1965-01-31,Senior Engineer,d005
47016,Toong,Litecky,1965-01-03,Senior Staff,d009
47139,Marco,Usdin,1965-01-25,Engineer,d005
47262,Gonzalo,Binkley,1965-01-10,Senior Engineer,d005
47515,Naraig,Jenevein,1965-01-26,Senior Engineer,d005
47702,Juyoung,Vieri,1965-01-21,Senior Staff,d007
47708,Edwin,Haldar,1965-01-05,Senior Staff,d001
48275,Sariel,Massonet,1965-01-29,Senior Staff,d007
48690,Hitomi,Schaap,1965-01-12,Staff,d003
48882,Leen,Lamparter,1965-01-28,Senior Engineer,d004
48904,Yuichiro,Malabarba,1965-01-23,Senior Staff,d002
48947,Filipp,Akaboshi,1965-01-05,Senior Staff,d007
49010,Kazuhisa,Benantar,1965-01-16,Senior Staff,d001
49017,Filipp,Flanders,1965-01-07,Senior Engineer,d005
49119,Lena,Peek,1965-01-09,Senior Engineer,d004
49177,Tze,Bach,1965-01-03,Engineer,d004
49464,Siddarth,Cappelletti,1965-01-14,Staff,d007
49477,Baocai,Leaver,1965-01-14,Senior Staff,d003
50293,Xinan,Rindone,1965-01-26,Engineer,d004
50311,Mooi,Stafford,1965-01-24,Senior Engineer,d006
50453,Aron,Harbusch,1965-01-12,Staff,d002
50670,Boguslaw,Snedden,1965-01-30,Senior Staff,d001
50831,Marie,Khalid,1965-01-06,Senior Engineer,d004
51036,Chriss,Fasbender,1965-01-29,Staff,d007
51057,Theirry,Albarhamtoshy,1965-01-29,Senior Staff,d001
51060,Youngkon,Rohrbach,1965-01-15,Senior Engineer,d005
51142,Rosine,Lakshmanan,1965-01-29,Senior Engineer,d005
52038,Chikako,Armand,1965-01-13,Senior Engineer,d004
52040,Phule,Heijenga,1965-01-14,Senior Staff,d005
52283,Trygve,Krupka,1965-01-20,Senior Staff,d008
52386,Adas,Denti,1965-01-28,Senior Staff,d007
52590,Jouni,Munoz,1965-01-21,Senior Staff,d005
52599,Augustine,Mungall,1965-01-25,Senior Engineer,d004
52639,Arup,Colorni,1965-01-09,Senior Staff,d007
52770,Shugo,Yurek,1965-01-31,Senior Staff,d007
52778,Alain,Penn,1965-01-15,Technique Leader,d006
52956,Khalil,Picci,1965-01-31,Senior Engineer,d004
52970,Lobel,Werthner,1965-01-22,Senior Engineer,d004
53278,Premsyl,Lortz,1965-01-31,Senior Staff,d007
53314,Eberhardt,Carrera,1965-01-06,Staff,d008
53431,Sham,Vasanthakumar,1965-01-12,Senior Staff,d001
53499,Zdislav,Mandelberg,1965-01-20,Senior Engineer,d004
53597,Jiafu,Marchegay,1965-01-30,Senior Engineer,d005
53874,Bodo,Schade,1965-01-23,Senior Staff,d001
53924,Arnould,Gaughan,1965-01-27,Senior Engineer,d004
54198,Shaowen,Segond,1965-01-01,Senior Engineer,d005
54632,Etsuo,Serot,1965-01-19,Senior Staff,d002
54795,Sumant,Nergos,1965-01-29,Senior Staff,d004
54800,Breannda,Cangellaris,1965-01-13,Staff,d007
55640,Adit,Syrotiuk,1965-01-25,Senior Engineer,d004
55687,Shih,Lindqvist,1965-01-02,Senior Engineer,d005
55799,Jianwen,Litzler,1965-01-23,Senior Engineer,d004
55857,Adin,Scallan,1965-01-18,Senior Staff,d007
56105,Makato,Remmers,1965-01-11,Senior Engineer,d005
56209,Remzi,Douceur,1965-01-19,Senior Engineer,d004
56415,Sigeru,Nivat,1965-01-30,Senior Staff,d002
56428,Olivera,Hanabata,1965-01-27,Senior Staff,d007
56682,Roded,Picco,1965-01-28,Assistant Engineer,d005
56829,Nagui,Gruenwald,1965-01-09,Engineer,d004
56847,Menkae,Chinin,1965-01-14,Senior Engineer,d004
57934,Sanjoy,Boudaillier,1965-01-25,Senior Engineer,d005
58141,Bezalel,Karner,1965-01-05,Staff,d002
58147,Shigenori,Sullins,1965-01-09,Senior Staff,d001
58384,Mariusz,Vural,1965-01-22,Senior Engineer,d005
58454,Ziya,Zambonelli,1965-01-25,Engineer,d004
58497,Yechiam,Cairo,1965-01-22,Senior Staff,d001
58819,Gennady,Liesche,1965-01-04,Senior Staff,d007
58990,Palash,Trelles,1965-01-04,Engineer,d005
59195,Ronnie,Pollock,1965-01-08,Technique Leader,d005
59640,Zita,Hiltgen,1965-01-18,Staff,d002
59869,Zsolt,Riefers,1965-02-01,Senior Staff,d001
59966,Steen,Salvesen,1965-01-28,Technique Leader,d004
60000,Heekeun,Emmart,1965-01-16,Engineer,d005
60091,Surveyors,Bade,1965-02-01,Senior Staff,d009
60238,Erzsebet,Claffy,1965-01-23,Staff,d001
60559,Jeanna,Stemann,1965-01-19,Senior Engineer,d004
60821,Moty,Mersereau,1965-01-02,Senior Staff,d003
60845,Bedir,Siegrist,1965-01-14,Engineer,d004
60875,Rildo,Masaki,1965-01-21,Senior Engineer,d006
60959,Tetsushi,Sridhar,1965-01-09,Senior Staff,d001
61147,Leszek,Werthner,1965-01-30,Staff,d001
61253,Cheong,Uhrik,1965-01-09,Senior Engineer,d005
61377,Dannz,Ohori,1965-01-01,Senior Staff,d004
61541,Kasidit,Papsdorf,1965-01-08,Senior Engineer,d005
61873,Woody,Rusmann,1965-01-19,Engineer,d006
62033,Heeju,Cappelli,1965-01-24,Senior Engineer,d004
62046,Karlis,Nanard,1965-01-31,Senior Engineer,d004
62245,Adel,Bressoud,1965-01-01,Engineer,d005
63294,Tetsushi,Tanemo,1965-01-23,Senior Engineer,d004
63419,Hiroyasu,Seuren,1965-01-14,Senior Engineer,d004
63441,Hinrich,Scallan,1965-01-15,Staff,d003
63566,Heekeun,Slaats,1965-01-31,Senior Staff,d007
63631,Falguni,Cherinka,1965-01-22,Senior Engineer,d004
63706,Sedat,Itzigehl,1965-01-26,Engineer,d005
64023,Laurentiu,Benzmuller,1965-01-11,Senior Engineer,d005
64209,Golgen,Schoegge,1965-01-24,Senior Staff,d009
64487,Tsutomu,Rebaine,1965-01-27,Senior Engineer,d006
64532,Atilio,Segond,1965-01-23,Senior Engineer,d004
64632,Zsolt,Brender,1965-01-07,Senior Staff,d007
64790,Shin,Piveteau,1965-01-29,Senior Engineer,d005
64828,Krister,Pappas,1965-01-27,Staff,d007
64984,Eldridge,Eldridge,1965-01-06,Senior Engineer,d004
65171,Jeane,Tasistro,1965-01-25,Technique Leader,d004
65539,Aksel,Picaronny,1965-01-23,Senior Engineer,d005
65883,Patricia,Pepe,1965-01-07,Senior Staff,d007
65998,Mandell,Alameldin,1965-01-09,Senior Staff,d007
66382,Domenico,Candan,1965-01-04,Engineer,d004
66530,Dung,Leaver,1965-01-29,Staff,d008
66643,Jianhao,Tomescu,1965-01-18,Engineer,d004
66702,Deniz,Thibadeau,1965-02-01,Senior Engineer,d005
66757,Yonghong,Baig,1965-01-16,Staff,d001
66807,Aiman,Rosaz,1965-01-21,Senior Engineer,d005
67320,Sadok,Lorys,1965-01-18,Senior Staff,d001
67548,Fumitaka,Roohalamini,1965-01-11,Staff,d003
67934,Aiman,Gargeya,1965-01-07,Senior Engineer,d004
68416,Munenori,Debuse,1965-01-27,Senior Engineer,d004
68608,Yucai,Seghrouchni,1965-01-26,Senior Engineer,d004
68633,Chinhyun,Rassart,1965-01-28,Senior Engineer,d004
68648,Jaques,DiGiano,1965-01-25,Technique Leader,d005
69052,Shietung,Shrader,1965-01-26,Senior Staff,d007
69219,Shuky,Redmiles,1965-01-09,Senior Staff,d001
69867,Miyeon,Rothe,1965-01-22,Senior Staff,d007
69878,Chinya,Cooke,1965-01-24,Engineer,d005
69936,Lalit,Unni,1965-01-23,Assistant Engineer,d004
70469,Tru,Miyakawa,1965-01-12,Senior Staff,d001
70990,Arumugam,Nitta,1965-01-22,Senior Engineer,d004
71066,Domenick,Basart,1965-01-27,Senior Staff,d007
71141,Sajjad,Vitiello,1965-01-02,Senior Staff,d003
71188,Pranjal,Schapiro,1965-01-02,Senior Staff,d007
71243,Kinh,Buchter,1965-01-10,Senior Engineer,d004
71334,Cathie,Peck,1965-01-15,Senior Engineer,d005
71685,Kristinn,Olano,1965-01-01,Senior Engineer,d004
71710,Hitomi,Takanami,1965-01-31,Assistant Engineer,d005
71745,Adil,Laventhal,1965-01-02,Engineer,d005
72190,Sajjad,Waeselynck,1965-01-19,Engineer,d005
72194,Feiyu,Siepmann,1965-01-26,Senior Engineer,d004
72232,Naraig,Veldwijk,1965-01-10,Senior Engineer,d006
72640,Honglan,Hutton,1965-01-24,Senior Engineer,d006
72918,Takahira,Szilard,1965-01-22,Senior Staff,d007
73076,Froduald,Feldhoffer,1965-01-22,Senior Engineer,d005
73233,Shigeo,Merey,1965-01-15,Senior Engineer,d004
73516,Qingxiang,Badache,1965-01-14,Senior Engineer,d004
73743,Anneke,Bernardeschi,1965-01-15,Engineer,d004
74200,Holgard,Weiland,1965-01-16,Senior Engineer,d004
74344,Hiroyasu,Provine,1965-02-01,Engineer,d005
74668,Masako,Bonifati,1965-01-01,Senior Staff,d007
74800,Yuuichi,Conde,1965-01-25,Senior Engineer,d004
75354,Shuky,Jakobus,1965-01-11,Senior Engineer,d005
75703,Kyoichi,Erman,1965-01-08,Senior Engineer,d005
76189,Kolar,Hinsberger,1965-01-02,Senior Engineer,d004
76201,Arif,Preusig,1965-01-10,Senior Engineer,d005
76640,Tristan,Mitsuhashi,1965-01-02,Senior Engineer,d006
77030,Faiza,Garnham,1965-01-02,Technique Leader,d005
77303,Xinglin,Birge,1965-01-18,Senior Staff,d009
77647,Niranjan,Schaaf,1965-01-07,Technique Leader,d004
77815,Ronghao,Picaronny,1965-01-21,Engineer,d005
78106,Ashish,Ratnaker,1965-01-09,Senior Staff,d001
78363,Susumu,Fritzsche,1965-01-03,Engineer,d006
78469,Leucio,Cappelli,1965-01-28,Staff,d003
78871,Conor,Ghandeharizadeh,1965-01-15,Senior Engineer,d005
79043,Katsuo,Hockney,1965-01-24,Technique Leader,d004
79171,Guiseppe,Ellozy,1965-01-19,Senior Engineer,d004
79310,Jeong,Cunliffe,1965-01-24,Senior Staff,d001
79606,Arnd,Peir,1965-01-03,Senior Engineer,d005
79763,Sanjoy,Barreiro,1965-01-20,Senior Staff,d001
79895,Fei,Murtagh,1965-01-30,Senior Staff,d007
80067,Kazuhisa,Weiland,1965-01-19,Senior Staff,d009
80203,Shakhar,Baik,1965-01-22,Staff,d007
80432,Stella,Figueira,1965-01-17,Senior Staff,d008
80731,Shaowen,Eldridge,1965-01-25,Senior Staff,d007
80850,Koldo,Luit,1965-02-01,Senior Engineer,d004
80889,Shigeo,Linnainmaa,1965-01-07,Senior Engineer,d005
80948,Harjit,Bardell,1965-01-27,Senior Engineer,d005
81105,Jaewon,Boissier,1965-01-14,Senior Engineer,d005
81545,Larisa,Kornyak,1965-01-13,Technique Leader,d005
81644,Divine,Ghandeharizadeh,1965-01-05,Staff,d007
81995,Sreekrishna,Brender,1965-01-10,Senior Engineer,d005
82069,Yechezkel,Perfilyeva,1965-01-20,Senior Engineer,d004
82098,Poornachandra,Wilharm,1965-01-25,Senior Engineer,d004
82351,Stevo,Thambidurai,1965-01-26,Senior Staff,d003
82511,Uwe,Koblick,1965-01-27,Engineer,d005
82919,Shigeu,Claffy,1965-01-05,Engineer,d005
82928,Alselm,Rikino,1965-01-27,Senior Engineer,d005
83280,Francesca,Ellozy,1965-01-07,Senior Engineer,d004
83289,Shigeichiro,Engelmann,1965-01-09,Senior Engineer,d005
83509,Breannda,Collavizza,1965-01-04,Senior Engineer,d005
83544,Leaf,Baak,1965-01-18,Senior Staff,d007
83714,Ohad,Kilgore,1965-01-27,Senior Engineer,d004
83805,Manohar,Harllee,1965-01-23,Senior Engineer,d005
83941,Zsolt,Hagimont,1965-01-11,Senior Staff,d008
84029,Babette,Eugenio,1965-01-27,Staff,d009
84179,Shuichi,Nanard,1965-01-25,Senior Engineer,d004
84236,Eberhardt,Barriga,1965-01-18,Senior Staff,d007
84315,Kristina,Baumann,1965-01-23,Assistant Engineer,d005
84451,Shiv,Aumann,1965-01-20,Senior Engineer,d005
84508,Tommaso,Vidya,1965-01-17,Engineer,d005
84840,Sverrir,Neimat,1965-01-14,Staff,d008
84922,Parke,Unno,1965-01-22,Engineer,d005
84942,Shin,Fujisaki,1965-01-15,Technique Leader,d006
85216,Ferdinand,Rosiles,1965-01-18,Senior Staff,d002
85288,Younwoo,Luders,1965-01-06,Senior Engineer,d004
85414,Chiradeep,Callaway,1965-01-14,Staff,d002
85445,Yongdong,Pollock,1965-01-09,Staff,d007
85702,Udi,Merks,1965-01-04,Engineer,d006
85874,Pasqua,Taubman,1965-01-30,Senior Staff,d009
86213,Kristine,Clemencon,1965-01-28,Senior Staff,d001
86354,Ronghao,Segond,1965-01-27,Senior Engineer,d005
86422,Jaewon,Thummel,1965-02-01,Senior Staff,d001
86546,Oldrich,Woycyznski,1965-01-09,Senior Engineer,d004
86655,Zhenhua,Lorys,1965-01-01,Engineer,d004
86672,JoAnne,Anido,1965-01-15,Staff,d008
87129,Keung,Neiman,1965-01-16,Staff,d007
87353,Quingbo,Coombs,1965-01-07,Senior Engineer,d005
87714,Khun,Janetzko,1965-01-16,Engineer,d004
87729,Yongmin,Roccetti,1965-01-24,Senior Staff,d008
87783,Conor,Thorensen,1965-01-26,Senior Engineer,d005
88103,Goo,Bresenham,1965-01-09,Senior Staff,d007
88411,Lena,Cannane,1965-01-31,Engineer,d005
88422,Jungsoon,Birsak,1965-01-28,Technique Leader,d004
88647,Vasiliy,Ratnaker,1965-01-10,Engineer,d005
88958,Vojin,Coombs,1965-01-22,Senior Staff,d002
88965,Mang,Hedayat,1965-01-20,Engineer,d005
89048,Otmar,Birjandi,1965-01-24,Senior Engineer,d005
89090,Tetsushi,Theuretzbacher,1965-01-26,Senior Staff,d003
89161,Conal,Yetto,1965-01-07,Senior Staff,d002
89207,Along,Erol,1965-01-15,Senior Staff,d003
89346,Mansur,Comyn,1965-01-13,Engineer,d005
89590,Guther,Rothenberg,1965-01-27,Senior Staff,d008
89664,Pranjal,Rossi,1965-01-20,Staff,d001
89680,Aiman,Mawatari,1965-01-27,Senior Engineer,d004
89806,Xiadong,Shinomoto,1965-01-27,Senior Engineer,d004
89922,Alexius,Ibel,1965-01-26,Senior Engineer,d004
89941,Arnould,Weedman,1965-01-23,Senior Staff,d001
90077,Vivian,Guerreiro,1965-01-24,Engineer,d005
90084,Renny,Bale,1965-01-01,Senior Engineer,d004
90211,Bader,Denis,1965-01-15,Engineer,d004
90292,Koichi,Assaf,1965-01-09,Senior Engineer,d004
90518,Fumiko,Chepyzhov,1965-01-24,Senior Staff,d009
90614,Yonghoan,Trogemann,1965-01-29,Engineer,d004
90692,Rajmohan,DasSarma,1965-01-03,Senior Staff,d001
91172,Kazuhisa,Melter,1965-01-19,Senior Staff,d009
91182,Lucien,Schwartzburd,1965-01-04,Senior Engineer,d005
91229,Yahiko,Hebden,1965-01-01,Senior Engineer,d004
91256,Gunilla,Milicic,1965-01-13,Staff,d001
91333,Lobel,Stafford,1965-01-27,Staff,d007
91415,Jamaludin,Nilsson,1965-01-04,Senior Staff,d007
91648,Dmitry,Msuda,1965-01-29,Senior Staff,d001
92438,Aria,Kilgore,1965-01-04,Senior Engineer,d004
92454,Visit,McFarlan,1965-01-24,Senior Engineer,d006
92577,Zhanqiu,Farrow,1965-01-06,Assistant Engineer,d004
92598,Ranga,Merro,1965-01-18,Assistant Engineer,d004
92685,Mang,Atchley,1965-01-26,Senior Staff,d007
92841,Claude,Candan,1965-01-22,Senior Staff,d007
92846,Anyuan,Kropatsch,1965-01-11,Senior Staff,d001
92920,Huei,Hutter,1965-01-20,Senior Engineer,d005
93040,Jaques,Kabayashi,1965-01-19,Senior Engineer,d005
93220,Richara,Walston,1965-01-11,Senior Engineer,d006
93278,Magdalena,Penn,1965-02-01,Senior Engineer,d004
93549,Arie,Coullard,1965-02-01,Senior Staff,d002
93600,Kristina,Neimat,1965-01-13,Technique Leader,d004
94331,Ramzi,Cronau,1965-01-26,Technique Leader,d004
94416,Aran,Cesareni,1965-01-01,Senior Staff,d002
94761,Hitofumi,Zaccaria,1965-01-27,Senior Engineer,d005
94944,Heping,Matheson,1965-01-13,Senior Engineer,d005
95181,Yishai,Cappelli,1965-01-28,Staff,d008
95286,Kristin,Guerreiro,1965-01-18,Senior Engineer,d005
95314,Rasiah,Koblick,1965-01-22,Senior Staff,d007
95406,Alair,Lyonns,1965-01-08,Engineer,d005
95416,Gianluca,Ramaiah,1965-01-13,Engineer,d005
95509,Kristinn,Loncour,1965-01-11,Engineer,d004
95920,Nobuyoshi,Hegner,1965-01-19,Senior Staff,d002
96571,Kokou,Garrabrants,1965-01-13,Senior Engineer,d004
96579,Mohan,Tasistro,1965-01-18,Engineer,d004
96767,Arumugam,Vecchio,1965-01-07,Senior Engineer,d004
97018,Jeanna,Chinen,1965-01-09,Senior Engineer,d004
97623,Haldon,Janetzko,1965-01-25,Senior Staff,d003
97661,Avishai,Hegner,1965-01-31,Senior Staff,d008
98288,Sumali,Huttel,1965-01-12,Senior Staff,d008
98306,Ziya,Kadhim,1965-01-16,Senior Engineer,d004
98639,Florina,Assaf,1965-01-29,Staff,d008
99057,Shugo,Reeken,1965-01-30,Staff,d009
99373,Xiaobin,Christianini,1965-01-13,Senior Staff,d009
99377,Carrsten,Francisci,1965-01-18,Senior Engineer,d005
99590,Dhritiman,Anily,1965-01-24,Staff,d007
99654,Mahendra,Motley,1965-01-30,Senior Staff,d008
